Original Data Value
Series ID	Jan 2015	Feb 2015	Mar 2015	Apr 2015	May 2015	Jun 2015	Jul 2015	Aug 2015	Sep 2015	Oct 2015	Nov 2015	Dec 2015
SMU01115000000000001	46.1	46.2	46.3	46.6	46.5	46.7	46.3	46.4	46.0	46.3	46.5	46.6(P)
SMU01122200000000001	59.8	60.2	60.5	60.9	60.9	60.7	60.5	61.2	62.1	61.7	62.2	61.8(P)
SMU01138200000000001	513.2	516.2	516.2	517.5	520.2	521.7	518.6	519.7	519.1	520.9	525.4	524.4(P)
SMU01193000000000001	66.2	66.7	68.5	69.3	70.7	72.5	71.4	70.4	70.0	69.3	69.2	69.0(P)
SMU01194600000000001	53.3	53.5	53.8	53.5	54.0	54.3	53.7	53.6	53.9	53.8	54.3	54.4(P)
SMU01200200000000001	56.8	56.7	57.5	57.7	57.2	57.4	57.2	57.1	57.2	57.5	57.8	58.0(P)
SMU01225200000000001	54.5	54.8	55.2	55.5	55.5	55.2	54.8	55.1	55.4	55.7	56.3	56.1(P)
SMU01234600000000001	37.1	37.2	37.2	37.4	37.8	38.0	37.4	37.4	37.4	37.6	38.0	37.7(P)
SMU01266200000000001	215.4	216.7	217.4	218.7	220.2	218.6	218.0	216.4	219.4	219.4	221.4	221.3(P)
SMU01336600000000001	173.7	175.2	176.4	177.4	177.6	176.3	174.2	174.2	175.0	175.4	176.8	176.5(P)
SMU01338600000000001	169.4	169.9	170.3	171.3	170.9	171.8	171.0	171.3	170.0	170.4	171.5	172.0(P)
SMU01462200000000001	104.0	104.5	104.4	105.1	104.2	103.7	103.1	104.9	106.1	106.5	107.6	107.0(P)

P : Preliminary

